DATA,DIA_SEMANA,TIPO,NOME,STATUS
01/01/2026,Quinta,Nacional,Confraternização Universal,BLOQUEADO
20/04/2026,Segunda,Nacional,Paixão de Cristo,BLOQUEADO
21/04/2026,Terça,Nacional,Tiradentes,BLOQUEADO
01/05/2026,Sexta,Nacional,Dia do Trabalho,BLOQUEADO
11/05/2026,Segunda,Municipal,Aniversário de Aparecida de Goiânia,BLOQUEADO
07/09/2026,Segunda,Nacional,Independência do Brasil,BLOQUEADO
12/10/2026,Segunda,Nacional,Nossa Senhora Aparecida,BLOQUEADO
02/11/2026,Segunda,Nacional,Finados,BLOQUEADO
15/11/2026,Domingo,Nacional,Proclamação da República,BLOQUEADO
20/11/2026,Sexta,Nacional,Consciência Negra,BLOQUEADO
25/12/2026,Sexta,Nacional,Natal,BLOQUEADO
