"Unidade","Tópico","Informação"
"Penha","Endereço","Rua dos Romeiros, 211, Penha, Rio de Janeiro/RJ, 21070-090"
"Penha","Referência","Em frente ao Parque Shangai e ao BRT da Penha"
"Penha","Maps","https://maps.app.goo.gl/a2SsxseUT7KzM8Pi8"
"Penha","Redes sociais","@sorriapenha"
"Recreio","Endereço","R. Gen. Landri Gonçalves, 245, Recreio dos Bandeirantes, Rio de Janeiro/RJ, 22795-410"
"Recreio","Referência","Ao lado do VemKV, próximo ao Supermarket e ao lado do Qualifruti"
"Recreio","Maps","https://maps.app.goo.gl/MXUpNh74pCwM4aDU6"
"Recreio","Redes sociais","@sorriapenharecreio"
"Caxias","Endereço","Av. Nilo Peçanha, 272, Centro, Duque de Caxias/RJ, 25010-144"
"Caxias","Referência","Em cima da Citycol e ao lado do mercado São Thiago"
"Caxias","Maps","https://maps.app.goo.gl/2UYfgWozRtwMKrun6"
"Caxias","Redes sociais","@sorriapenhacaxias"
